gender,age,ticket_class,survived
male,44,SECOND_CLASS,False
male,16,SECOND_CLASS,True
female,8,FIRST_CLASS,True
female,35,THIRD_CLASS,False
female,0,FIRST_CLASS,True
female,53,FIRST_CLASS,False
female,60,THIRD_CLASS,False
male,21,FIRST_CLASS,False
female,8,FIRST_CLASS,True
male,38,FIRST_CLASS,False
male,38,THIRD_CLASS,False
female,1,FIRST_CLASS,True
male,27,SECOND_CLASS,False
female,40,FIRST_CLASS,False
female,29,THIRD_CLASS,False
male,48,FIRST_CLASS,False
female,9,FIRST_CLASS,True
male,39,THIRD_CLASS,False
male,22,THIRD_CLASS,False
female,54,SECOND_CLASS,False
female,34,FIRST_CLASS,False
male,13,THIRD_CLASS,True
female,21,FIRST_CLASS,False
male,3,THIRD_CLASS,True
male,37,THIRD_CLASS,False
male,21,THIRD_CLASS,False
male,43,SECOND_CLASS,False
female,59,FIRST_CLASS,False
female,25,THIRD_CLASS,False
male,41,FIRST_CLASS,False
male,24,SECOND_CLASS,False
female,30,FIRST_CLASS,False
male,0,THIRD_CLASS,True
male,49,THIRD_CLASS,False
male,34,FIRST_CLASS,False
female,48,THIRD_CLASS,False
female,13,FIRST_CLASS,True
female,5,FIRST_CLASS,True
male,50,FIRST_CLASS,False
female,15,FIRST_CLASS,True
male,52,THIRD_CLASS,False
female,46,SECOND_CLASS,False
male,36,FIRST_CLASS,False
female,31,THIRD_CLASS,False
male,12,SECOND_CLASS,True
male,45,THIRD_CLASS,False
male,27,FIRST_CLASS,False
female,51,SECOND_CLASS,False
male,40,SECOND_CLASS,False
female,60,FIRST_CLASS,False
male,43,THIRD_CLASS,False
female,24,FIRST_CLASS,False
male,8,THIRD_CLASS,True
male,14,THIRD_CLASS,True
male,13,FIRST_CLASS,True
female,15,THIRD_CLASS,True
male,45,SECOND_CLASS,False
female,39,FIRST_CLASS,False
female,55,THIRD_CLASS,False
male,1,THIRD_CLASS,True
female,50,THIRD_CLASS,False
female,48,SECOND_CLASS,False
female,22,FIRST_CLASS,False
male,26,THIRD_CLASS,False
female,41,THIRD_CLASS,False
female,47,THIRD_CLASS,False
male,8,SECOND_CLASS,True
female,8,FIRST_CLASS,True
male,16,SECOND_CLASS,True
female,8,SECOND_CLASS,True
female,2,THIRD_CLASS,True
female,60,SECOND_CLASS,False
female,6,FIRST_CLASS,True
female,4,SECOND_CLASS,True
male,21,THIRD_CLASS,False
female,36,THIRD_CLASS,False
male,54,THIRD_CLASS,False
female,10,SECOND_CLASS,True
female,9,FIRST_CLASS,True
male,58,FIRST_CLASS,False
male,11,THIRD_CLASS,True
female,45,FIRST_CLASS,False
female,58,SECOND_CLASS,False
female,14,THIRD_CLASS,True
male,23,THIRD_CLASS,False
female,57,SECOND_CLASS,False
male,32,FIRST_CLASS,False
female,51,SECOND_CLASS,False
female,31,THIRD_CLASS,False
male,28,SECOND_CLASS,False
female,38,THIRD_CLASS,False
female,18,FIRST_CLASS,False
female,36,THIRD_CLASS,False
male,35,FIRST_CLASS,False
male,29,THIRD_CLASS,False
male,8,SECOND_CLASS,True
female,20,THIRD_CLASS,False
male,26,THIRD_CLASS,False
male,0,FIRST_CLASS,True
male,25,SECOND_CLASS,False
male,33,FIRST_CLASS,False
female,49,FIRST_CLASS,False
male,32,THIRD_CLASS,False
female,51,FIRST_CLASS,False
male,7,SECOND_CLASS,True
female,45,THIRD_CLASS,False
female,32,SECOND_CLASS,False
male,24,FIRST_CLASS,False
female,30,THIRD_CLASS,False
male,48,THIRD_CLASS,False
female,46,FIRST_CLASS,False
male,45,THIRD_CLASS,False
male,19,FIRST_CLASS,False
male,25,SECOND_CLASS,False
male,18,FIRST_CLASS,False
male,32,FIRST_CLASS,False
male,15,SECOND_CLASS,True
male,29,THIRD_CLASS,False
male,6,SECOND_CLASS,True
female,47,SECOND_CLASS,False
male,36,SECOND_CLASS,False
male,34,FIRST_CLASS,False
male,25,THIRD_CLASS,False
male,6,SECOND_CLASS,True
male,28,SECOND_CLASS,False
male,23,SECOND_CLASS,False
female,18,SECOND_CLASS,False
male,41,THIRD_CLASS,False
male,37,FIRST_CLASS,False
male,22,SECOND_CLASS,False
male,31,THIRD_CLASS,False
female,59,FIRST_CLASS,False
female,40,FIRST_CLASS,False
female,3,THIRD_CLASS,True
female,43,THIRD_CLASS,False
female,28,THIRD_CLASS,False
male,26,SECOND_CLASS,False
female,21,FIRST_CLASS,False
female,31,SECOND_CLASS,False
female,52,SECOND_CLASS,False
male,14,THIRD_CLASS,True
female,3,FIRST_CLASS,True
male,41,FIRST_CLASS,False
female,11,SECOND_CLASS,True
male,38,THIRD_CLASS,False
male,25,FIRST_CLASS,False
female,55,SECOND_CLASS,False
female,55,THIRD_CLASS,False
female,5,FIRST_CLASS,True
male,13,SECOND_CLASS,True
male,51,SECOND_CLASS,False
male,58,FIRST_CLASS,False
male,25,THIRD_CLASS,False
male,43,SECOND_CLASS,False
female,23,THIRD_CLASS,False
female,27,FIRST_CLASS,False
female,42,SECOND_CLASS,False
female,13,SECOND_CLASS,True
female,52,FIRST_CLASS,False
male,31,SECOND_CLASS,False
male,10,SECOND_CLASS,True
male,49,SECOND_CLASS,False
male,51,FIRST_CLASS,False
female,55,SECOND_CLASS,False
female,2,FIRST_CLASS,True
female,16,FIRST_CLASS,True
female,6,SECOND_CLASS,True
male,38,SECOND_CLASS,False
male,37,SECOND_CLASS,False
female,58,THIRD_CLASS,False
male,16,FIRST_CLASS,True
male,55,THIRD_CLASS,False
female,26,SECOND_CLASS,False
female,30,THIRD_CLASS,False
female,12,SECOND_CLASS,True
female,48,THIRD_CLASS,False
male,23,FIRST_CLASS,False
male,48,SECOND_CLASS,False
female,45,FIRST_CLASS,False
male,13,THIRD_CLASS,True
male,24,FIRST_CLASS,False
male,20,THIRD_CLASS,False
male,16,THIRD_CLASS,True
male,49,FIRST_CLASS,False
male,5,SECOND_CLASS,True
male,34,SECOND_CLASS,False
female,51,THIRD_CLASS,False
female,49,SECOND_CLASS,False
male,38,SECOND_CLASS,False
male,23,FIRST_CLASS,False
female,41,SECOND_CLASS,False
female,24,SECOND_CLASS,False
male,47,FIRST_CLASS,False
female,41,SECOND_CLASS,False
female,12,THIRD_CLASS,True
female,41,THIRD_CLASS,False
female,40,FIRST_CLASS,False
male,5,FIRST_CLASS,True
male,44,FIRST_CLASS,False
female,43,FIRST_CLASS,False
male,45,FIRST_CLASS,False
male,40,FIRST_CLASS,False
female,27,THIRD_CLASS,False
male,0,THIRD_CLASS,True
male,47,SECOND_CLASS,False
female,11,SECOND_CLASS,True
female,0,THIRD_CLASS,True
female,14,SECOND_CLASS,True
female,55,SECOND_CLASS,False
female,13,FIRST_CLASS,True
male,59,THIRD_CLASS,False
female,14,FIRST_CLASS,True
male,55,THIRD_CLASS,False
female,38,SECOND_CLASS,False
female,51,FIRST_CLASS,False
male,30,SECOND_CLASS,False
female,4,FIRST_CLASS,True
male,30,FIRST_CLASS,False
female,5,FIRST_CLASS,True
male,55,THIRD_CLASS,False
male,52,FIRST_CLASS,False
female,8,FIRST_CLASS,True
male,39,FIRST_CLASS,False
female,43,THIRD_CLASS,False
male,11,SECOND_CLASS,True
female,5,FIRST_CLASS,True
female,42,THIRD_CLASS,False
female,0,FIRST_CLASS,True
male,2,THIRD_CLASS,True
female,43,THIRD_CLASS,False
female,47,FIRST_CLASS,False
male,12,THIRD_CLASS,True
female,1,SECOND_CLASS,True
male,7,THIRD_CLASS,True
female,7,THIRD_CLASS,True
male,16,SECOND_CLASS,True
male,16,FIRST_CLASS,True
female,22,THIRD_CLASS,False
female,11,FIRST_CLASS,True
male,32,THIRD_CLASS,False
male,10,THIRD_CLASS,True
male,29,FIRST_CLASS,False
male,39,SECOND_CLASS,False
male,28,FIRST_CLASS,False
female,42,SECOND_CLASS,False
female,13,FIRST_CLASS,True
female,58,SECOND_CLASS,False
female,6,FIRST_CLASS,True
male,22,SECOND_CLASS,False
female,29,FIRST_CLASS,False
male,38,THIRD_CLASS,False
male,0,SECOND_CLASS,True
female,17,THIRD_CLASS,True
male,43,THIRD_CLASS,False
male,26,SECOND_CLASS,False
male,36,FIRST_CLASS,False
female,24,THIRD_CLASS,False
female,6,FIRST_CLASS,True
female,0,THIRD_CLASS,True
male,28,SECOND_CLASS,False
male,49,THIRD_CLASS,False
male,25,FIRST_CLASS,False
male,55,FIRST_CLASS,False
male,32,SECOND_CLASS,False
male,54,FIRST_CLASS,False
female,15,THIRD_CLASS,True
male,4,FIRST_CLASS,True
male,12,THIRD_CLASS,True
female,47,FIRST_CLASS,False
female,21,THIRD_CLASS,False
male,5,THIRD_CLASS,True
female,3,THIRD_CLASS,True
female,21,FIRST_CLASS,False
male,37,FIRST_CLASS,False
female,3,THIRD_CLASS,True
female,17,THIRD_CLASS,True
male,47,FIRST_CLASS,False
male,55,SECOND_CLASS,False
male,6,FIRST_CLASS,True
female,31,SECOND_CLASS,False
female,48,SECOND_CLASS,False
female,43,FIRST_CLASS,False
male,32,THIRD_CLASS,False
male,7,SECOND_CLASS,True
female,34,SECOND_CLASS,False
male,13,SECOND_CLASS,True
female,36,THIRD_CLASS,False
male,54,SECOND_CLASS,False
female,48,THIRD_CLASS,False
male,10,SECOND_CLASS,True
female,46,SECOND_CLASS,False
female,32,FIRST_CLASS,False
male,1,FIRST_CLASS,True
male,18,FIRST_CLASS,False
female,30,SECOND_CLASS,False
male,49,THIRD_CLASS,False
male,36,FIRST_CLASS,False
female,9,THIRD_CLASS,True
male,0,THIRD_CLASS,True
female,5,FIRST_CLASS,True
female,55,SECOND_CLASS,False
female,10,THIRD_CLASS,True
female,30,SECOND_CLASS,False
female,38,THIRD_CLASS,False
female,18,SECOND_CLASS,False
male,45,THIRD_CLASS,False
male,57,THIRD_CLASS,False
male,14,SECOND_CLASS,True
female,6,SECOND_CLASS,True
female,1,FIRST_CLASS,True
female,21,SECOND_CLASS,False
female,53,SECOND_CLASS,False
female,40,SECOND_CLASS,False
female,9,SECOND_CLASS,True
male,28,THIRD_CLASS,False
male,26,SECOND_CLASS,False
female,31,SECOND_CLASS,False
female,14,THIRD_CLASS,True
female,42,SECOND_CLASS,False
female,14,FIRST_CLASS,True
male,51,SECOND_CLASS,False
female,9,SECOND_CLASS,True
male,28,FIRST_CLASS,False
male,41,SECOND_CLASS,False
male,24,SECOND_CLASS,False
female,8,THIRD_CLASS,True
male,9,THIRD_CLASS,True
male,60,FIRST_CLASS,False
male,47,THIRD_CLASS,False
male,48,THIRD_CLASS,False
female,42,THIRD_CLASS,False
male,13,THIRD_CLASS,True
female,18,FIRST_CLASS,False
female,0,FIRST_CLASS,True
female,32,FIRST_CLASS,False
male,38,FIRST_CLASS,False
female,1,FIRST_CLASS,True
female,52,FIRST_CLASS,False
male,46,FIRST_CLASS,False
male,34,SECOND_CLASS,False
female,6,FIRST_CLASS,True
male,48,THIRD_CLASS,False
male,45,SECOND_CLASS,False
female,10,SECOND_CLASS,True
female,31,FIRST_CLASS,False
male,15,THIRD_CLASS,True
male,53,THIRD_CLASS,False
female,56,SECOND_CLASS,False
male,32,THIRD_CLASS,False
male,58,THIRD_CLASS,False
male,19,FIRST_CLASS,False
male,49,THIRD_CLASS,False
female,5,FIRST_CLASS,True
male,45,THIRD_CLASS,False
female,14,THIRD_CLASS,True
male,58,SECOND_CLASS,False
male,58,SECOND_CLASS,False
male,28,SECOND_CLASS,False
female,60,THIRD_CLASS,False
male,47,SECOND_CLASS,False
male,57,SECOND_CLASS,False
female,35,SECOND_CLASS,False
male,11,FIRST_CLASS,True
female,6,FIRST_CLASS,True
female,25,THIRD_CLASS,False
male,32,SECOND_CLASS,False
male,11,THIRD_CLASS,True
female,41,SECOND_CLASS,False
female,30,THIRD_CLASS,False
female,35,FIRST_CLASS,False
male,21,THIRD_CLASS,False
female,59,SECOND_CLASS,False
female,20,FIRST_CLASS,False
male,28,THIRD_CLASS,False
female,56,THIRD_CLASS,False
male,26,FIRST_CLASS,False
female,55,THIRD_CLASS,False
female,13,THIRD_CLASS,True
male,24,SECOND_CLASS,False
male,8,SECOND_CLASS,True
female,31,THIRD_CLASS,False
female,2,SECOND_CLASS,True
male,41,FIRST_CLASS,False
female,13,SECOND_CLASS,True
male,44,THIRD_CLASS,False
female,52,SECOND_CLASS,False
female,38,FIRST_CLASS,False
female,4,SECOND_CLASS,True
female,21,FIRST_CLASS,False
male,19,SECOND_CLASS,False
male,60,FIRST_CLASS,False
male,18,FIRST_CLASS,False
female,50,THIRD_CLASS,False
female,13,SECOND_CLASS,True
female,8,THIRD_CLASS,True
female,50,FIRST_CLASS,False
female,13,THIRD_CLASS,True
female,27,THIRD_CLASS,False
male,13,FIRST_CLASS,True
female,1,FIRST_CLASS,True
male,3,SECOND_CLASS,True
male,45,SECOND_CLASS,False
female,13,FIRST_CLASS,True
male,36,THIRD_CLASS,False
female,0,THIRD_CLASS,True
female,5,THIRD_CLASS,True
male,59,FIRST_CLASS,False
female,47,FIRST_CLASS,False
female,46,THIRD_CLASS,False
female,25,SECOND_CLASS,False
male,15,SECOND_CLASS,True
female,12,THIRD_CLASS,True
female,29,THIRD_CLASS,False
female,39,THIRD_CLASS,False
male,0,FIRST_CLASS,True
female,43,THIRD_CLASS,False
female,50,THIRD_CLASS,False
female,52,FIRST_CLASS,False
female,27,THIRD_CLASS,False
female,12,THIRD_CLASS,True
male,13,SECOND_CLASS,True
male,30,THIRD_CLASS,False
female,50,FIRST_CLASS,False
male,27,FIRST_CLASS,False
female,41,THIRD_CLASS,False
male,59,THIRD_CLASS,False
male,27,THIRD_CLASS,False
female,44,FIRST_CLASS,False
female,13,THIRD_CLASS,True
male,54,FIRST_CLASS,False
female,3,SECOND_CLASS,True
female,40,FIRST_CLASS,False
male,55,FIRST_CLASS,False
female,25,FIRST_CLASS,False
male,59,SECOND_CLASS,False
male,15,SECOND_CLASS,True
male,39,THIRD_CLASS,False
male,16,THIRD_CLASS,True
female,29,THIRD_CLASS,False
male,53,SECOND_CLASS,False
male,10,FIRST_CLASS,True
female,27,THIRD_CLASS,False
male,54,SECOND_CLASS,False
female,56,FIRST_CLASS,False
male,46,FIRST_CLASS,False
male,43,FIRST_CLASS,False
female,32,SECOND_CLASS,False
male,12,SECOND_CLASS,True
male,56,FIRST_CLASS,False
female,24,SECOND_CLASS,False
male,22,FIRST_CLASS,False
male,6,SECOND_CLASS,True
male,37,THIRD_CLASS,False
female,16,SECOND_CLASS,True
female,16,FIRST_CLASS,True
male,40,SECOND_CLASS,False
female,7,SECOND_CLASS,True
male,46,THIRD_CLASS,False
male,53,SECOND_CLASS,False
female,12,FIRST_CLASS,True
male,55,FIRST_CLASS,False
female,1,SECOND_CLASS,True
female,35,SECOND_CLASS,False
male,56,FIRST_CLASS,False
male,26,FIRST_CLASS,False
male,17,FIRST_CLASS,True
female,58,FIRST_CLASS,False
female,54,SECOND_CLASS,False
male,42,THIRD_CLASS,False
female,38,THIRD_CLASS,False
female,21,SECOND_CLASS,False
male,27,THIRD_CLASS,False
male,56,FIRST_CLASS,False
male,21,THIRD_CLASS,False
female,33,FIRST_CLASS,False
female,25,THIRD_CLASS,False
female,4,FIRST_CLASS,True
female,36,SECOND_CLASS,False
female,17,THIRD_CLASS,True
male,47,SECOND_CLASS,False
male,38,FIRST_CLASS,False
male,20,FIRST_CLASS,False
male,1,FIRST_CLASS,True
female,15,SECOND_CLASS,True
male,47,FIRST_CLASS,False
female,6,FIRST_CLASS,True
male,20,FIRST_CLASS,False
female,48,THIRD_CLASS,False
female,37,THIRD_CLASS,False
female,44,FIRST_CLASS,False
female,39,THIRD_CLASS,False
female,6,THIRD_CLASS,True
male,49,FIRST_CLASS,False
female,50,SECOND_CLASS,False
male,37,THIRD_CLASS,False
male,40,FIRST_CLASS,False
female,39,THIRD_CLASS,False
male,55,SECOND_CLASS,False
female,38,THIRD_CLASS,False
male,27,FIRST_CLASS,False
female,48,FIRST_CLASS,False
male,19,FIRST_CLASS,False
male,36,SECOND_CLASS,False
male,30,FIRST_CLASS,False
male,44,FIRST_CLASS,False
female,56,FIRST_CLASS,False
male,9,FIRST_CLASS,True
male,22,THIRD_CLASS,False
female,34,SECOND_CLASS,False
female,5,SECOND_CLASS,True
female,57,SECOND_CLASS,False
female,54,FIRST_CLASS,False
female,10,SECOND_CLASS,True
male,33,SECOND_CLASS,False
male,2,THIRD_CLASS,True
female,36,SECOND_CLASS,False
male,45,SECOND_CLASS,False
female,50,FIRST_CLASS,False
male,25,THIRD_CLASS,False
female,56,THIRD_CLASS,False
male,25,FIRST_CLASS,False
female,37,SECOND_CLASS,False
female,44,FIRST_CLASS,False
male,37,THIRD_CLASS,False
female,43,FIRST_CLASS,False
female,14,THIRD_CLASS,True
male,8,SECOND_CLASS,True
female,38,THIRD_CLASS,False
female,23,THIRD_CLASS,False
male,59,THIRD_CLASS,False
male,51,FIRST_CLASS,False
female,31,THIRD_CLASS,False
male,9,FIRST_CLASS,True
male,42,THIRD_CLASS,False
female,43,FIRST_CLASS,False
female,46,THIRD_CLASS,False
male,50,FIRST_CLASS,False
female,8,SECOND_CLASS,True
male,44,SECOND_CLASS,False
female,3,SECOND_CLASS,True
female,39,THIRD_CLASS,False
female,19,FIRST_CLASS,False
female,27,FIRST_CLASS,False
male,46,SECOND_CLASS,False
male,48,SECOND_CLASS,False
female,5,FIRST_CLASS,True
female,60,THIRD_CLASS,False
male,56,SECOND_CLASS,False
male,42,SECOND_CLASS,False
female,46,SECOND_CLASS,False
female,24,FIRST_CLASS,False
male,31,FIRST_CLASS,False
male,33,SECOND_CLASS,False
male,55,THIRD_CLASS,False
male,23,SECOND_CLASS,False
female,36,FIRST_CLASS,False
female,41,SECOND_CLASS,False
male,43,SECOND_CLASS,False
male,19,THIRD_CLASS,False
female,1,SECOND_CLASS,True
male,9,THIRD_CLASS,True
male,22,THIRD_CLASS,False
male,33,SECOND_CLASS,False
male,29,THIRD_CLASS,False
male,52,FIRST_CLASS,False
female,25,SECOND_CLASS,False
male,31,FIRST_CLASS,False
female,8,THIRD_CLASS,True
female,15,FIRST_CLASS,True
male,22,THIRD_CLASS,False
female,9,SECOND_CLASS,True
male,5,THIRD_CLASS,True
female,27,FIRST_CLASS,False
male,20,THIRD_CLASS,False
female,0,THIRD_CLASS,True
male,57,THIRD_CLASS,False
female,26,THIRD_CLASS,False
male,44,FIRST_CLASS,False
female,6,SECOND_CLASS,True
male,34,SECOND_CLASS,False
female,50,SECOND_CLASS,False
male,17,THIRD_CLASS,True
male,11,SECOND_CLASS,True
male,44,FIRST_CLASS,False
female,51,FIRST_CLASS,False
female,42,SECOND_CLASS,False
female,57,THIRD_CLASS,False
male,25,SECOND_CLASS,False
male,32,SECOND_CLASS,False
female,3,FIRST_CLASS,True
female,56,THIRD_CLASS,False
male,50,THIRD_CLASS,False
female,53,FIRST_CLASS,False
male,25,FIRST_CLASS,False
male,26,FIRST_CLASS,False
male,1,THIRD_CLASS,True
male,51,FIRST_CLASS,False
female,14,THIRD_CLASS,True
male,31,SECOND_CLASS,False
male,11,FIRST_CLASS,True
male,32,FIRST_CLASS,False
female,40,SECOND_CLASS,False
female,48,FIRST_CLASS,False
female,46,SECOND_CLASS,False
female,19,FIRST_CLASS,False
male,26,SECOND_CLASS,False
female,20,SECOND_CLASS,False
male,27,THIRD_CLASS,False
female,17,THIRD_CLASS,True
male,37,SECOND_CLASS,False
male,51,THIRD_CLASS,False
male,36,THIRD_CLASS,False
female,5,SECOND_CLASS,True
male,27,SECOND_CLASS,False
female,44,FIRST_CLASS,False
female,5,THIRD_CLASS,True
male,33,THIRD_CLASS,False
female,10,FIRST_CLASS,True
female,1,THIRD_CLASS,True
male,17,FIRST_CLASS,True
male,43,THIRD_CLASS,False
female,40,SECOND_CLASS,False
female,1,FIRST_CLASS,True
female,4,THIRD_CLASS,True
female,16,THIRD_CLASS,True
female,42,THIRD_CLASS,False
female,33,THIRD_CLASS,False
female,43,FIRST_CLASS,False
female,46,THIRD_CLASS,False
female,46,THIRD_CLASS,False
female,21,THIRD_CLASS,False
female,47,FIRST_CLASS,False
male,22,THIRD_CLASS,False
male,15,THIRD_CLASS,True
male,37,FIRST_CLASS,False
female,1,SECOND_CLASS,True
male,47,SECOND_CLASS,False
female,35,FIRST_CLASS,False
female,25,FIRST_CLASS,False
female,19,THIRD_CLASS,False
female,46,THIRD_CLASS,False
male,15,THIRD_CLASS,True
male,7,SECOND_CLASS,True
male,12,SECOND_CLASS,True
female,26,SECOND_CLASS,False
male,54,SECOND_CLASS,False
male,28,SECOND_CLASS,False
male,49,FIRST_CLASS,False
male,57,FIRST_CLASS,False
female,40,FIRST_CLASS,False
female,9,SECOND_CLASS,True
male,49,THIRD_CLASS,False
male,53,THIRD_CLASS,False
female,19,THIRD_CLASS,False
female,50,SECOND_CLASS,False
female,28,FIRST_CLASS,False
male,19,THIRD_CLASS,False
male,38,FIRST_CLASS,False
male,19,THIRD_CLASS,False
female,45,SECOND_CLASS,False
female,32,THIRD_CLASS,False
male,7,FIRST_CLASS,True
male,31,THIRD_CLASS,False
female,57,FIRST_CLASS,False
female,4,SECOND_CLASS,True
female,43,SECOND_CLASS,False
female,6,THIRD_CLASS,True
male,9,FIRST_CLASS,True
female,19,THIRD_CLASS,False
male,5,FIRST_CLASS,True
female,13,SECOND_CLASS,True
male,30,SECOND_CLASS,False
male,50,FIRST_CLASS,False
male,46,SECOND_CLASS,False
male,20,THIRD_CLASS,False
female,60,THIRD_CLASS,False
male,10,FIRST_CLASS,True
male,0,SECOND_CLASS,True
male,54,SECOND_CLASS,False
male,14,THIRD_CLASS,True
female,42,SECOND_CLASS,False
female,45,FIRST_CLASS,False
female,45,THIRD_CLASS,False
female,3,THIRD_CLASS,True
female,60,SECOND_CLASS,False
female,55,FIRST_CLASS,False
female,58,SECOND_CLASS,False
female,16,SECOND_CLASS,True
female,60,FIRST_CLASS,False
female,9,THIRD_CLASS,True
male,47,THIRD_CLASS,False
female,59,THIRD_CLASS,False
male,2,FIRST_CLASS,True
female,51,FIRST_CLASS,False
female,9,SECOND_CLASS,True
male,39,FIRST_CLASS,False
male,28,SECOND_CLASS,False
male,60,THIRD_CLASS,False
male,51,THIRD_CLASS,False
female,53,FIRST_CLASS,False
male,16,FIRST_CLASS,True
female,2,FIRST_CLASS,True
female,51,THIRD_CLASS,False
male,42,SECOND_CLASS,False
female,49,SECOND_CLASS,False
female,53,THIRD_CLASS,False
male,44,THIRD_CLASS,False
male,43,THIRD_CLASS,False
female,27,FIRST_CLASS,False
female,60,THIRD_CLASS,False
male,58,SECOND_CLASS,False
male,26,FIRST_CLASS,False
male,21,SECOND_CLASS,False
female,17,THIRD_CLASS,True
female,19,THIRD_CLASS,False
male,16,FIRST_CLASS,True
female,6,THIRD_CLASS,True
female,51,FIRST_CLASS,False
male,18,SECOND_CLASS,False
female,1,SECOND_CLASS,True
male,29,SECOND_CLASS,False
male,16,FIRST_CLASS,True
female,24,FIRST_CLASS,False
male,15,THIRD_CLASS,True
female,55,THIRD_CLASS,False
female,49,THIRD_CLASS,False
male,36,THIRD_CLASS,False
male,60,THIRD_CLASS,False
female,44,SECOND_CLASS,False
female,28,SECOND_CLASS,False
female,49,SECOND_CLASS,False
female,58,SECOND_CLASS,False
male,55,FIRST_CLASS,False
female,18,FIRST_CLASS,False
female,55,THIRD_CLASS,False
male,11,THIRD_CLASS,True
male,6,FIRST_CLASS,True
female,25,FIRST_CLASS,False
male,6,SECOND_CLASS,True
female,39,FIRST_CLASS,False
female,27,FIRST_CLASS,False
female,10,SECOND_CLASS,True
female,22,SECOND_CLASS,False
female,52,THIRD_CLASS,False
female,19,THIRD_CLASS,False
female,54,FIRST_CLASS,False
female,58,FIRST_CLASS,False
male,22,SECOND_CLASS,False
male,54,THIRD_CLASS,False
male,20,FIRST_CLASS,False
female,21,THIRD_CLASS,False
male,22,SECOND_CLASS,False
female,30,SECOND_CLASS,False
male,28,FIRST_CLASS,False
male,35,THIRD_CLASS,False
female,56,THIRD_CLASS,False
male,55,FIRST_CLASS,False
female,11,FIRST_CLASS,True
male,29,FIRST_CLASS,False
male,33,THIRD_CLASS,False
female,52,FIRST_CLASS,False
male,56,FIRST_CLASS,False
female,36,THIRD_CLASS,False
male,41,FIRST_CLASS,False
female,41,SECOND_CLASS,False
female,3,THIRD_CLASS,True
male,23,SECOND_CLASS,False
male,10,THIRD_CLASS,True
male,57,SECOND_CLASS,False
male,35,THIRD_CLASS,False
female,41,SECOND_CLASS,False
female,9,FIRST_CLASS,True
male,24,FIRST_CLASS,False
male,29,FIRST_CLASS,False
male,44,THIRD_CLASS,False
male,33,THIRD_CLASS,False
female,15,THIRD_CLASS,True
female,58,SECOND_CLASS,False
male,9,THIRD_CLASS,True
female,36,FIRST_CLASS,False
male,59,SECOND_CLASS,False
female,48,SECOND_CLASS,False
female,46,THIRD_CLASS,False
male,0,THIRD_CLASS,True
male,3,THIRD_CLASS,True
male,34,SECOND_CLASS,False
female,6,FIRST_CLASS,True
male,25,SECOND_CLASS,False
female,29,FIRST_CLASS,False
female,60,SECOND_CLASS,False
female,19,SECOND_CLASS,False
male,11,SECOND_CLASS,True
female,18,SECOND_CLASS,False
male,39,SECOND_CLASS,False
female,43,SECOND_CLASS,False
male,37,SECOND_CLASS,False
female,1,FIRST_CLASS,True
male,2,THIRD_CLASS,True
male,4,FIRST_CLASS,True
female,42,FIRST_CLASS,False
male,38,SECOND_CLASS,False
female,47,SECOND_CLASS,False
female,2,SECOND_CLASS,True
male,30,THIRD_CLASS,False
female,60,THIRD_CLASS,False
male,40,FIRST_CLASS,False
female,30,FIRST_CLASS,False
male,43,SECOND_CLASS,False
female,60,THIRD_CLASS,False
female,60,THIRD_CLASS,False
female,2,SECOND_CLASS,True
female,10,FIRST_CLASS,True
male,3,THIRD_CLASS,True
male,44,SECOND_CLASS,False
female,17,SECOND_CLASS,True
male,47,FIRST_CLASS,False
male,43,SECOND_CLASS,False
female,52,THIRD_CLASS,False
female,50,SECOND_CLASS,False
female,41,THIRD_CLASS,False
female,7,SECOND_CLASS,True
male,47,SECOND_CLASS,False
male,36,FIRST_CLASS,False
male,14,THIRD_CLASS,True
male,16,THIRD_CLASS,True
female,33,THIRD_CLASS,False
female,48,THIRD_CLASS,False
male,42,SECOND_CLASS,False
male,24,FIRST_CLASS,False
male,16,FIRST_CLASS,True
male,9,THIRD_CLASS,True
male,23,THIRD_CLASS,False
female,48,FIRST_CLASS,False
female,59,SECOND_CLASS,False
male,8,FIRST_CLASS,True
male,1,FIRST_CLASS,True
female,22,FIRST_CLASS,False
male,1,FIRST_CLASS,True
male,53,THIRD_CLASS,False
male,1,THIRD_CLASS,True
female,58,SECOND_CLASS,False
male,40,SECOND_CLASS,False
female,37,FIRST_CLASS,False
female,8,FIRST_CLASS,True
male,53,FIRST_CLASS,False
male,15,FIRST_CLASS,True
male,25,SECOND_CLASS,False
female,54,FIRST_CLASS,False
male,27,SECOND_CLASS,False
male,4,SECOND_CLASS,True
female,13,THIRD_CLASS,True
female,21,THIRD_CLASS,False
female,50,SECOND_CLASS,False
female,58,FIRST_CLASS,False
male,49,FIRST_CLASS,False
female,49,THIRD_CLASS,False
female,54,SECOND_CLASS,False
female,25,SECOND_CLASS,False
male,58,THIRD_CLASS,False
male,33,THIRD_CLASS,False
male,15,SECOND_CLASS,True
male,2,SECOND_CLASS,True
female,57,THIRD_CLASS,False
female,23,FIRST_CLASS,False
male,16,FIRST_CLASS,True
female,19,SECOND_CLASS,False
female,6,SECOND_CLASS,True
female,59,SECOND_CLASS,False
male,33,THIRD_CLASS,False
male,43,THIRD_CLASS,False
female,57,FIRST_CLASS,False
male,60,SECOND_CLASS,False
male,4,SECOND_CLASS,True
female,32,THIRD_CLASS,False
